kingdom,phylum,class,order,family,genus,species,SGB,Bietry_1,Bietry_2,Bietry_3,Kassembie_1,Kassembie_2,status
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Trichococcus,s__Trichococcus_shcherbakoviae,t__SGB7469_group,0.01717,0,0,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_arenosus,t__SGB81601,0.0169,0.22646,0.02555,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_submarinus,t__SGB31383,0.01649,0.02519,0.22095,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodobacterales,f__Roseobacteraceae,g__Ruegeria,s__Ruegeria_sp_HKCCSA071,t__SGB93802,0.0162,0.01392,0.07124,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Caryophanaceae,g__Planococcus,s__Planococcus_plakortidis,t__SGB154034,0.01591,0.19972,0.0245,0,0,Named species
k__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Micrococcales,f__Micrococcales_unclassified,g__Timonella,s__Timonella_senegalensis,t__SGB34806,0.0143,0,0,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Rossellomorea,s__Rossellomorea_aquimaris,t__SGB109822,0.01416,0.051090000000000003,0,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodobacterales,f__Roseobacteraceae,g__Lutimaribacter,s__Lutimaribacter_saemankumensis,t__SGB10587,0.01405,0.0713,0.02085,0,0,Named species
k__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Aequorivita,s__Aequorivita_SGB21798,t__SGB21798,0.01346,1.93698,2.26672,0,0,Undescribed
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_sp_NG25,t__SGB81608,0.01306,4.7e-4,0.00751,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_luti,t__SGB81605,0.01255,0.00191,0.01896,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Chromatiales,f__Ectothiorhodospiraceae,g__Candidatus_Macondimonas,s__Candidatus_Macondimonas_diazotrophica,t__SGB33311,0.01141,0.00207,0.02422,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Caryophanaceae,g__Solibacillus,s__Solibacillus_isronensis,t__SGB29963,0.01134,0.05183,0,0,0,Named species
k__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,f__Dietziaceae,g__Dietzia,s__Dietzia_kunjamensis,t__SGB15765,0.0101,0.16161,2.37139,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Erythrobacteraceae,g__Altererythrobacter,s__Altererythrobacter_epoxidivorans,t__SGB11489,0.00938,0.83781,0.25301,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacterales_unclassified,g__Paenirhodobacter,s__Paenirhodobacter_sp_CAU_1674,t__SGB38166,0.009,0.12692,0.00422,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Desemzia,s__Desemzia_incerta,t__SGB7913,0.00895,0,0,0,0,Named species
k__Bacteria,p__Bacteroidota,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Tenacibaculum,s__Tenacibaculum_SGB196020,t__SGB196020,0.00871,8.2e-4,0,0,0,Undescribed
k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhodobacterales,f__Roseobacteraceae,g__Alloyangia,s__Alloyangia_pacifica,t__SGB24257,0.00832,0.43191,0.07096,0,0,Named species
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Psychrobacter,s__Psychrobacter_sp_PP_21,t__SGB165561,0.00806,0,0.00327,0,0,Named species
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__GGB26910,s__GGB26910_SGB39105,t__SGB39105,0.00731,0.00122,0,0,0,Undescribed
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_sedimenti,t__SGB109959,0.00693,0.01727,0.02949,0,0,Named species
k__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Micrococcales,f__Intrasporangiaceae,g__Janibacter,s__Janibacter_SGB99000,t__SGB99000,0.0064,0.02125,0.06132,0,0,Undescribed
k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Halopseudomonas,s__Halopseudomonas_aestusnigri,t__SGB12060,0.00637,0,0,0,0,Named species
